Date,Open,High,Low,Close,Adj Close,Volume
2022-05-30,0.008643,0.008695,0.008636,0.008643,0.008643,0
2022-05-31,0.008643,0.008644,0.008619,0.008643,0.008643,0
2022-06-01,0.008632,0.008662,0.008632,0.008632,0.008632,0
2022-06-02,0.008632,0.008643,0.008586,0.008569,0.008569,0
2022-06-03,0.008632,0.008666,0.008628,0.008632,0.008632,0
2022-06-06,0.008622,0.008649,0.008619,0.008622,0.008622,0
2022-06-07,0.008624,0.008658,0.008593,0.008624,0.008624,0
2022-06-08,0.008621,0.008644,0.008615,0.008621,0.008621,0
2022-06-09,0.008619,0.008643,0.008611,0.008619,0.008619,0
2022-06-10,0.008613,0.008621,0.008595,0.008613,0.008613,0
2022-06-13,0.008621,0.008637,0.008599,0.008621,0.008621,0
2022-06-14,0.008602,0.008617,0.008571,0.008602,0.008602,0
2022-06-15,0.008606,0.008613,0.008595,0.008606,0.008606,0
2022-06-16,0.008601,0.008613,0.008575,0.008601,0.008601,0
2022-06-17,0.008590,0.008602,0.008587,0.008590,0.008590,0
2022-06-20,0.008595,0.008606,0.008570,0.008595,0.008595,0
2022-06-21,0.008591,0.008595,0.008576,0.008591,0.008591,0
2022-06-22,0.008576,0.008591,0.008548,0.008576,0.008576,0
2022-06-23,0.008573,0.008584,0.008565,0.008573,0.008573,0
2022-06-24,0.008569,0.008595,0.008562,0.008569,0.008569,0
2022-06-27,0.008565,0.008612,0.008562,0.008565,0.008565,0
2022-06-28,0.008562,0.008576,0.008558,0.008562,0.008562,0
2022-06-29,0.008560,0.008580,0.008515,0.008560,0.008560,0
2022-06-30,0.008562,0.008562,0.008551,0.008562,0.008562,0
2022-07-01,0.008556,0.008562,0.008547,0.008556,0.008556,0
2022-07-04,0.008554,0.008573,0.008540,0.008554,0.008554,0
2022-07-05,0.008552,0.008581,0.008536,0.008552,0.008552,0
2022-07-06,0.008547,0.008554,0.008519,0.008547,0.008547,0
2022-07-07,0.008543,0.008547,0.008536,0.008543,0.008543,0
2022-07-08,0.008540,0.008568,0.008529,0.008540,0.008540,0
2022-07-11,0.008540,0.008585,0.008524,0.008540,0.008540,0
2022-07-12,0.008524,0.008547,0.008524,0.008524,0.008524,0
2022-07-13,0.008536,0.008541,0.008522,0.008536,0.008536,0
2022-07-14,0.008532,0.008532,0.008499,0.008532,0.008532,0
2022-07-15,0.008532,0.008536,0.008514,0.008532,0.008532,0
2022-07-18,0.008529,0.008582,0.008511,0.008529,0.008529,0
2022-07-19,0.008518,0.008532,0.008499,0.008518,0.008518,0
2022-07-20,0.008507,0.008532,0.008495,0.008507,0.008507,0
2022-07-21,0.008507,0.008518,0.008490,0.008507,0.008507,0
2022-07-22,0.008507,0.008516,0.008493,0.008507,0.008507,0
2022-07-25,0.008500,0.008543,0.008493,0.008500,0.008500,0
2022-07-26,0.008498,0.008535,0.008488,0.008498,0.008498,0
2022-07-27,0.008503,0.008503,0.008485,0.008503,0.008503,0
2022-07-28,0.008485,0.008522,0.008482,0.008485,0.008485,0
2022-07-29,0.008483,0.008496,0.008414,0.008483,0.008483,0
2022-08-01,0.008482,0.008498,0.008465,0.008482,0.008482,0
2022-08-02,0.008475,0.008501,0.008410,0.008475,0.008475,0
2022-08-03,0.008471,0.008482,0.008464,0.008471,0.008471,0
2022-08-04,0.008464,0.008478,0.008452,0.008464,0.008464,0
2022-08-05,0.008460,0.008478,0.008396,0.008460,0.008460,0
2022-08-08,0.008467,0.008493,0.008396,0.008467,0.008467,0
2022-08-09,0.008460,0.008462,0.008389,0.008396,0.008396,0
2022-08-10,0.008455,0.008471,0.008446,0.008389,0.008389,0
2022-08-11,0.008450,0.008467,0.008442,0.008450,0.008450,0
2022-08-12,0.008446,0.008484,0.008386,0.008446,0.008446,0
2022-08-15,0.008442,0.008462,0.008429,0.008442,0.008442,0
2022-08-16,0.008439,0.008446,0.008404,0.008439,0.008439,0
2022-08-17,0.008435,0.008470,0.008428,0.008435,0.008435,0
2022-08-18,0.008432,0.008450,0.008425,0.008432,0.008432,0
2022-08-19,0.008428,0.008439,0.008415,0.008428,0.008428,0
2022-08-22,0.008425,0.008463,0.008390,0.008425,0.008425,0
2022-08-23,0.008414,0.008428,0.008351,0.008414,0.008414,0
2022-08-24,0.008410,0.008447,0.008407,0.008410,0.008410,0
2022-08-25,0.008407,0.008425,0.008403,0.008407,0.008407,0
2022-08-26,0.008403,0.008432,0.008398,0.008403,0.008403,0
2022-08-29,0.008410,0.008435,0.008399,0.008410,0.008410,0
2022-08-30,0.008400,0.008421,0.008337,0.008400,0.008400,0
2022-08-31,0.008403,0.008410,0.008333,0.008337,0.008337,0
2022-09-01,0.008393,0.008403,0.008333,0.008393,0.008393,0
2022-09-02,0.008389,0.008397,0.008382,0.008389,0.008389,0
2022-09-05,0.008393,0.008425,0.008319,0.008393,0.008393,0
2022-09-06,0.008382,0.008418,0.008379,0.008319,0.008319,0
2022-09-07,0.008379,0.008389,0.008356,0.008379,0.008379,0
2022-09-08,0.008379,0.008389,0.008379,0.008316,0.008316,0
2022-09-09,0.008379,0.008410,0.008373,0.008316,0.008316,0
2022-09-12,0.008382,0.008412,0.008313,0.008382,0.008382,0
2022-09-13,0.008372,0.008379,0.008372,0.008372,0.008372,0
2022-09-14,0.008372,0.008382,0.008368,0.008372,0.008372,0
2022-09-15,0.008375,0.008391,0.008306,0.008375,0.008375,0
2022-09-16,0.008368,0.008402,0.008365,0.008306,0.008306,0
2022-09-19,0.008375,0.008407,0.008365,0.008375,0.008375,0
2022-09-20,0.008365,0.008398,0.008361,0.008302,0.008302,0
2022-09-21,0.008361,0.008379,0.008328,0.008361,0.008361,0
2022-09-22,0.008361,0.008372,0.008358,0.008361,0.008361,0
2022-09-23,0.008358,0.008368,0.008341,0.008295,0.008295,0
2022-09-26,0.008368,0.008368,0.008295,0.008368,0.008368,0
2022-09-27,0.008358,0.008379,0.008351,0.008295,0.008295,0
2022-09-28,0.008351,0.008361,0.008350,0.008351,0.008351,0
2022-09-29,0.008351,0.008361,0.008347,0.008288,0.008288,0
2022-09-30,0.008347,0.008354,0.008344,0.008347,0.008347,0
2022-10-03,0.008351,0.008423,0.008344,0.008351,0.008351,0
2022-10-04,0.008344,0.008354,0.008282,0.008282,0.008282,0
2022-10-05,0.008344,0.008379,0.008282,0.008344,0.008344,0
2022-10-06,0.008311,0.008351,0.008311,0.008311,0.008311,0
2022-10-07,0.008340,0.008351,0.008340,0.008340,0.008340,0
2022-10-10,0.008344,0.008384,0.008340,0.008344,0.008344,0
2022-10-11,0.008340,0.008368,0.008334,0.008340,0.008340,0
2022-10-12,0.008340,0.008351,0.008282,0.008282,0.008282,0
2022-10-13,0.008333,0.008351,0.008330,0.008333,0.008333,0
2022-10-14,0.008330,0.008371,0.008326,0.008330,0.008330,0
2022-10-17,0.008333,0.008376,0.008326,0.008333,0.008333,0
2022-10-18,0.008326,0.008364,0.008323,0.008326,0.008326,0
2022-10-19,0.008326,0.008359,0.008319,0.008326,0.008326,0
2022-10-20,0.008323,0.008327,0.008305,0.008323,0.008323,0
2022-10-21,0.008306,0.008344,0.008289,0.008306,0.008306,0
2022-10-24,0.008319,0.008355,0.008258,0.008319,0.008319,0
2022-10-25,0.008319,0.008323,0.008315,0.008258,0.008258,0
2022-10-26,0.008319,0.008323,0.008312,0.008258,0.008258,0
2022-10-27,0.008314,0.008316,0.008308,0.008251,0.008251,0
2022-10-28,0.008309,0.008323,0.008306,0.008309,0.008309,0
2022-10-31,0.008306,0.008348,0.008244,0.008306,0.008306,0
2022-11-01,0.008306,0.008313,0.008274,0.008244,0.008244,0
2022-11-02,0.008302,0.008306,0.008241,0.008302,0.008302,0
2022-11-03,0.008299,0.008310,0.008292,0.008299,0.008299,0
2022-11-04,0.008295,0.008323,0.008288,0.008295,0.008295,0
2022-11-07,0.008299,0.008449,0.008285,0.008434,0.008434,0
2022-11-08,0.008292,0.008321,0.008278,0.008292,0.008292,0
2022-11-09,0.008282,0.008299,0.008275,0.008282,0.008282,0
2022-11-10,0.008278,0.008288,0.008253,0.008278,0.008278,0
2022-11-11,0.008275,0.008285,0.008271,0.008275,0.008275,0
2022-11-14,0.008271,0.008331,0.008267,0.008369,0.008369,0
2022-11-15,0.008268,0.008299,0.008259,0.008268,0.008268,0
2022-11-16,0.008264,0.008285,0.008261,0.008264,0.008264,0
2022-11-17,0.008261,0.008278,0.008234,0.008261,0.008261,0
2022-11-18,0.008258,0.008283,0.008254,0.008258,0.008258,0
2022-11-21,0.008258,0.008262,0.008221,0.008254,0.008254,0
2022-11-22,0.008251,0.008279,0.008243,0.008251,0.008251,0
2022-11-23,0.008247,0.008280,0.008243,0.008247,0.008247,0
2022-11-24,0.008244,0.008251,0.008238,0.008244,0.008244,0
2022-11-25,0.008247,0.008254,0.008237,0.008247,0.008247,0
2022-11-28,0.008241,0.008258,0.008210,0.008244,0.008244,0
2022-11-29,0.008234,0.008244,0.008226,0.008234,0.008234,0
2022-11-30,0.008230,0.008247,0.008170,0.008230,0.008230,0
2022-12-01,0.008227,0.008244,0.008223,0.008227,0.008227,0
2022-12-02,0.008224,0.008234,0.008220,0.008224,0.008224,0
2022-12-05,0.008234,0.008277,0.008157,0.008234,0.008234,0
2022-12-06,0.008217,0.008234,0.008174,0.008217,0.008217,0
2022-12-07,0.008214,0.008230,0.008178,0.008214,0.008214,0
2022-12-08,0.008210,0.008220,0.008203,0.008210,0.008210,0
2022-12-09,0.008207,0.008227,0.008203,0.008207,0.008207,0
2022-12-12,0.008207,0.008215,0.008174,0.008230,0.008230,0
2022-12-13,0.008215,0.008234,0.008189,0.008215,0.008215,0
2022-12-14,0.008200,0.008214,0.008197,0.008200,0.008200,0
2022-12-15,0.008197,0.008216,0.008137,0.008197,0.008197,0
2022-12-16,0.008193,0.008208,0.008190,0.008193,0.008193,0
2022-12-19,0.008193,0.008198,0.008171,0.008193,0.008193,0
2022-12-20,0.008190,0.008193,0.008123,0.008190,0.008190,0
2022-12-21,0.008183,0.008203,0.008177,0.008123,0.008123,0
2022-12-22,0.008180,0.008205,0.008177,0.008180,0.008180,0
2022-12-23,0.008177,0.008190,0.008173,0.008177,0.008177,0
2022-12-26,0.008177,0.008210,0.008114,0.008173,0.008173,0
2022-12-27,0.008173,0.008210,0.008173,0.008173,0.008173,0
2022-12-28,0.008173,0.008185,0.008170,0.008114,0.008114,0
2022-12-29,0.008170,0.008198,0.008114,0.008170,0.008170,0
2022-12-30,0.008170,0.008187,0.008163,0.008170,0.008170,0
2023-01-02,0.008170,0.008220,0.008169,0.008163,0.008163,0
2023-01-03,0.008169,0.008193,0.008104,0.008169,0.008169,0
2023-01-04,0.008160,0.008193,0.008159,0.008160,0.008160,0
2023-01-05,0.008160,0.008177,0.008153,0.008104,0.008104,0
